state,year,quarter,entity_name,insurance_amount
andaman-&-nicobar-islands,2020,2,744301,565.0
andaman-&-nicobar-islands,2020,2,744104,513.0
andaman-&-nicobar-islands,2020,2,744101,282.0
andaman-&-nicobar-islands,2020,3,744112,3432.0
andaman-&-nicobar-islands,2020,3,744105,3948.0
andaman-&-nicobar-islands,2020,3,744101,2194.0
andaman-&-nicobar-islands,2020,3,744206,1620.0
andaman-&-nicobar-islands,2020,3,744107,1095.0
andaman-&-nicobar-islands,2020,3,744103,947.0
andaman-&-nicobar-islands,2020,3,744302,562.0
andaman-&-nicobar-islands,2020,3,744211,101.0
andaman-&-nicobar-islands,2020,3,744301,886.0
andaman-&-nicobar-islands,2020,3,744102,314.0
andaman-&-nicobar-islands,2020,4,744105,25659.0
andaman-&-nicobar-islands,2020,4,744101,29686.0
andaman-&-nicobar-islands,2020,4,744103,24904.0
andaman-&-nicobar-islands,2020,4,744102,25073.0
andaman-&-nicobar-islands,2020,4,744112,10459.0
andaman-&-nicobar-islands,2020,4,744106,4840.0
andaman-&-nicobar-islands,2020,4,744204,11659.0
andaman-&-nicobar-islands,2020,4,744104,10271.0
andaman-&-nicobar-islands,2020,4,744206,100.0
andaman-&-nicobar-islands,2020,4,744205,5235.0
andaman-&-nicobar-islands,2021,1,744105,53060.0
andaman-&-nicobar-islands,2021,1,744103,39985.0
andaman-&-nicobar-islands,2021,1,744101,24571.0
andaman-&-nicobar-islands,2021,1,744204,29635.0
andaman-&-nicobar-islands,2021,1,744202,17588.0
andaman-&-nicobar-islands,2021,1,744102,14085.0
andaman-&-nicobar-islands,2021,1,744104,7310.0
andaman-&-nicobar-islands,2021,1,744107,9253.0
andaman-&-nicobar-islands,2021,1,744205,11223.0
andaman-&-nicobar-islands,2021,1,744301,6612.0
andaman-&-nicobar-islands,2021,2,744103,33716.0
andaman-&-nicobar-islands,2021,2,744101,19787.0
andaman-&-nicobar-islands,2021,2,744105,17163.0
andaman-&-nicobar-islands,2021,2,744102,10326.0
andaman-&-nicobar-islands,2021,2,744204,10557.0
